lambda  n   fit
5.003600000000000136e+02 -9.420999999999999375e+01 0.000000000000000000e+00
5.004200000000000159e+02 6.757999999999999829e+01 0.000000000000000000e+00
5.004900000000000091e+02 -1.024000000000000021e+01 0.000000000000000000e+00
5.005500000000000114e+02 1.637999999999999901e+01 0.000000000000000000e+00
5.006200000000000045e+02 -2.049999999999999822e+00 0.000000000000000000e+00
5.006800000000000068e+02 -3.277000000000000313e+01 0.000000000000000000e+00
5.007500000000000000e+02 -4.096000000000000085e+01 0.000000000000000000e+00
5.008199999999999932e+02 -3.482000000000000028e+01 0.000000000000000000e+00
5.008799999999999955e+02 -4.096000000000000085e+01 0.000000000000000000e+00
5.009499999999999886e+02 8.189999999999999503e+00 0.000000000000000000e+00
5.010099999999999909e+02 -7.576999999999999602e+01 0.000000000000000000e+00
5.010799999999999841e+02 -3.071999999999999886e+01 0.000000000000000000e+00
5.011399999999999864e+02 -1.433999999999999986e+01 0.000000000000000000e+00
5.012099999999999795e+02 -7.781999999999999318e+01 0.000000000000000000e+00
5.012699999999999818e+02 3.277000000000000313e+01 0.000000000000000000e+00
5.013399999999999750e+02 -1.637999999999999901e+01 0.000000000000000000e+00
5.014100000000000250e+02 7.987000000000000455e+01 0.000000000000000000e+00
5.014700000000000273e+02 4.300999999999999801e+01 0.000000000000000000e+00
5.015400000000000205e+02 -5.325000000000000000e+01 0.000000000000000000e+00
5.016000000000000227e+02 4.710000000000000142e+01 0.000000000000000000e+00
5.016700000000000159e+02 5.325000000000000000e+01 0.000000000000000000e+00
5.017300000000000182e+02 -3.890999999999999659e+01 0.000000000000000000e+00
5.018000000000000114e+02 -1.024000000000000021e+01 0.000000000000000000e+00
5.018600000000000136e+02 1.637999999999999901e+01 0.000000000000000000e+00
5.019300000000000068e+02 -1.044500000000000028e+02 0.000000000000000000e+00
5.019900000000000091e+02 7.576999999999999602e+01 0.000000000000000000e+00
5.020600000000000023e+02 8.189999999999999503e+00 0.000000000000000000e+00
5.021200000000000045e+02 -2.867000000000000171e+01 0.000000000000000000e+00
5.021899999999999977e+02 6.139999999999999680e+00 0.000000000000000000e+00
5.022599999999999909e+02 1.637999999999999901e+01 0.000000000000000000e+00
