t ch1 ch2 ch3
346 4.00e-04 0.00e+00 -1.60e+01
347 -4.00e-04 4.00e-04 -1.44e+01
348 -4.00e-04 0.00e+00 -1.44e+01
349 4.00e-04 4.00e-04 -1.52e+01
350 4.00e-04 0.00e+00 -1.44e+01
351 -4.00e-04 4.00e-04 -1.52e+01
352 4.00e-04 0.00e+00 -1.52e+01
353 -4.00e-04 4.00e-04 -1.28e+01
354 4.00e-04 0.00e+00 -1.36e+01
355 -4.00e-04 4.00e-04 -1.28e+01
356 4.00e-04 0.00e+00 -1.36e+01
357 -4.00e-04 4.00e-04 -1.28e+01
358 4.00e-04 0.00e+00 -1.36e+01
359 -4.00e-04 4.00e-04 -1.20e+01
360 -4.00e-04 0.00e+00 -1.28e+01
361 4.00e-04 4.00e-04 -1.20e+01
362 -4.00e-04 4.00e-04 -1.20e+01
363 4.00e-04 -2.00e-04 -1.28e+01
364 -4.00e-04 -2.00e-04 -1.28e+01
365 4.00e-04 4.00e-04 -1.04e+01
366 4.00e-04 0.00e+00 -1.12e+01
367 -4.00e-04 4.00e-04 -1.04e+01
368 -4.00e-04 4.00e-04 -1.04e+01
369 4.00e-04 -2.00e-04 -1.12e+01
370 -4.00e-04 2.00e-04 -1.12e+01
371 4.00e-04 -2.00e-04 -9.60e+00
372 -4.00e-04 0.00e+00 -9.60e+00
373 4.00e-04 4.00e-04 -1.04e+01
374 4.00e-04 2.00e-04 -9.60e+00
375 -4.00e-04 0.00e+00 -1.04e+01
376 4.00e-04 4.00e-04 -1.04e+01
377 -4.00e-04 -2.00e-04 -8.00e+00
378 -4.00e-04 0.00e+00 -8.80e+00
379 4.00e-04 4.00e-04 -8.00e+00
380 -4.00e-04 2.00e-04 -8.80e+00
381 4.00e-04 -2.00e-04 -8.00e+00
382 -4.00e-04 -2.00e-04 -8.80e+00
383 4.00e-04 4.00e-04 -7.20e+00
384 4.00e-04 0.00e+00 -7.20e+00
385 -4.00e-04 4.00e-04 -8.00e+00
386 -4.00e-04 0.00e+00 -7.20e+00
387 4.00e-04 4.00e-04 -8.00e+00
388 -4.00e-04 0.00e+00 -8.00e+00
389 4.00e-04 4.00e-04 -6.40e+00
390 -4.00e-04 0.00e+00 -6.40e+00
391 4.00e-04 4.00e-04 -5.60e+00
392 4.00e-04 2.00e-04 -6.40e+00
393 -4.00e-04 -2.00e-04 -5.60e+00
394 4.00e-04 4.00e-04 -6.40e+00
395 -4.00e-04 -2.00e-04 -4.80e+00
396 -4.00e-04 0.00e+00 -4.80e+00
397 4.00e-04 4.00e-04 -6.40e+00
398 -4.00e-04 0.00e+00 -5.60e+00
399 4.00e-04 4.00e-04 -4.80e+00
400 -4.00e-04 2.00e-04 -5.60e+00
401 4.00e-04 -2.00e-04 -3.20e+00
402 -4.00e-04 2.00e-04 -4.00e+00
403 4.00e-04 -2.00e-04 -3.20e+00
404 4.00e-04 0.00e+00 -4.00e+00
405 -4.00e-04 2.00e-04 -3.20e+00
406 -4.00e-04 2.00e-04 -4.00e+00
407 4.00e-04 -2.00e-04 -2.40e+00
408 -4.00e-04 0.00e+00 -2.40e+00
409 4.00e-04 4.00e-04 -4.00e+00
410 0.00e+00 0.00e+00 -3.20e+00
411 -8.00e-04 4.00e-04 -2.40e+00
412 -8.00e-04 -2.00e-04 -3.20e+00
413 4.00e-04 4.00e-04 -8.00e-01
414 -4.00e-04 2.00e-04 -3.20e+00
415 4.00e-04 -2.00e-04 -8.00e-01
416 -4.00e-04 -2.00e-04 -8.00e-01
