t   ch2 ch3 fit
-3.595999999999999197e+00 0.000000000000000000e+00 -3.600000000000000000e+01 1.183679201347445567e-165
-3.585999999999999410e+00 4.000000000000000222e-01 -3.679999999999999716e+01 2.148771387618821358e-161
-3.575999999999999179e+00 0.000000000000000000e+00 -3.679999999999999716e+01 3.433264056095896794e-157
-3.565999999999999392e+00 4.000000000000000222e-01 -3.439999999999999858e+01 4.828197197617464234e-153
-3.555999999999999162e+00 4.000000000000000222e-01 -3.520000000000000284e+01 5.976178916371019977e-149
-3.545999999999999375e+00 0.000000000000000000e+00 -3.439999999999999858e+01 6.510629488675958571e-145
-3.535999999999999144e+00 0.000000000000000000e+00 -3.520000000000000284e+01 6.242853871069895254e-141
-3.525999999999999357e+00 4.000000000000000222e-01 -3.439999999999999858e+01 5.268708319421204771e-137
-3.515999999999999570e+00 0.000000000000000000e+00 -3.520000000000000284e+01 3.913685666892376125e-133
-3.505999999999999783e+00 4.000000000000000222e-01 -3.360000000000000142e+01 2.558753947888623390e-129
-3.495999999999999552e+00 0.000000000000000000e+00 -3.439999999999999858e+01 1.472420679345764786e-125
-3.485999999999999321e+00 4.000000000000000222e-01 -3.360000000000000142e+01 7.457548548150732344e-122
-3.475999999999999535e+00 4.000000000000000222e-01 -3.439999999999999858e+01 3.324459670397838096e-118
-3.465999999999999304e+00 0.000000000000000000e+00 -3.360000000000000142e+01 1.304388156529667045e-114
-3.455999999999999517e+00 4.000000000000000222e-01 -3.439999999999999858e+01 4.504570864237308974e-111
-3.445999999999999286e+00 0.000000000000000000e+00 -3.200000000000000000e+01 1.369180794230087331e-107
-3.435999999999999499e+00 4.000000000000000222e-01 -3.200000000000000000e+01 3.662932977196694541e-104
-3.425999999999999268e+00 0.000000000000000000e+00 -3.279999999999999716e+01 8.624976974600869023e-101
-3.415999999999999481e+00 0.000000000000000000e+00 -3.279999999999999716e+01 1.787506851042615908e-97
-3.405999999999999250e+00 4.000000000000000222e-01 -3.200000000000000000e+01 3.260605705837765160e-94
-3.395999999999999464e+00 4.000000000000000222e-01 -3.279999999999999716e+01 5.234915211307796924e-91
-3.385999999999999233e+00 0.000000000000000000e+00 -3.119999999999999929e+01 7.397446247989283330e-88
-3.375999999999999446e+00 4.000000000000000222e-01 -3.200000000000000000e+01 9.200571037919086393e-85
-3.365999999999999215e+00 0.000000000000000000e+00 -3.119999999999999929e+01 1.007183369526113219e-81
-3.355999999999998984e+00 4.000000000000000222e-01 -3.119999999999999929e+01 9.704275287230253139e-79
-3.345999999999999641e+00 0.000000000000000000e+00 -3.200000000000000000e+01 8.229595100017957387e-76
-3.335999999999999410e+00 0.000000000000000000e+00 -3.200000000000000000e+01 6.142633827335744242e-73
-3.325999999999999623e+00 4.000000000000000222e-01 -2.960000000000000142e+01 4.035446410825863696e-70
-3.315999999999999392e+00 0.000000000000000000e+00 -3.039999999999999858e+01 2.333400788505262300e-67
-3.305999999999999606e+00 4.000000000000000222e-01 -2.960000000000000142e+01 1.187539036830397692e-64
-3.295999999999999375e+00 4.000000000000000222e-01 -3.039999999999999858e+01 5.319456326072726462e-62
-3.285999999999999588e+00 0.000000000000000000e+00 -2.960000000000000142e+01 2.097236458998283120e-59
-3.275999999999999357e+00 0.000000000000000000e+00 -3.039999999999999858e+01 7.277602802854223732e-57
-3.265999999999999570e+00 4.000000000000000222e-01 -2.880000000000000071e+01 2.222747331011038065e-54
-3.255999999999999339e+00 4.000000000000000222e-01 -2.960000000000000142e+01 5.975202724069040039e-52
-3.245999999999999108e+00 0.000000000000000000e+00 -2.880000000000000071e+01 1.413760976846168874e-49
-3.235999999999999321e+00 0.000000000000000000e+00 -2.880000000000000071e+01 2.944151363194274516e-47
-3.225999999999999091e+00 4.000000000000000222e-01 -2.960000000000000142e+01 5.396411716159525341e-45
